customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
7590-VHVEG,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check
5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check
7795-CFOCW,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic)
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic)
6713-OKOMC,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic)
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check
7469-LKBCI,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic)
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic)
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic)
8191-XWSZG,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic)
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic)
4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
8779-QRDMV,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
1680-VDCWW,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic)
1066-JKSGK,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic)
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic)
6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic)
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
8665-UTDHZ,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic)
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic)
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic)
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check
7310-EGVHZ,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic)
3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic)
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic)
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check
6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic)
5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic)
8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check
9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic)
9867-JCZSP,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check
4671-VJLCL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic)
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check
3714-NTNFO,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
5948-UJZLF,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check
